City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tuktoyaktuk,CA,68.0,broken clouds,69.45,-133.04,End of The Road Ltd.
5,Karla,EE,64.36,broken clouds,59.37,24.93,River Villa
6,Agartala,IN,76.95,moderate rain,23.84,91.28,Hotel Welcome Palace
7,Huarmey,PE,67.23,few clouds,-10.07,-78.15,Hotel Miramar
8,Siniscola,IT,72.95,clear sky,40.57,9.69,Hotel Sa Tanca E Bore
9,Alappuzha,IN,78.24,overcast clouds,9.49,76.33,Panoramic Sea Resort
12,Xingcheng,CN,74.12,broken clouds,40.62,120.72,New Century Hotel
14,Rikitea,PF,71.06,light rain,-23.12,-134.97,People ThankYou
15,Chapais,CA,62.38,broken clouds,49.78,-74.85,Hôtel Opémiska
17,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
19,Olinda,BR,73.13,broken clouds,-8.01,-34.86,Pousada Sitio Do Carmo
21,Bambous Virieux,MU,71.85,scattered clouds,-20.34,57.76,Casa Tia Villa
23,Avarua,CK,78.85,few clouds,-21.21,-159.78,Paradise Inn
26,Salinopolis,BR,78.49,clear sky,-0.61,-47.36,Salinas Park Resort Maçarico AP101
28,Juba,SS,70.75,overcast clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
29,Torbay,CA,66.88,broken clouds,47.67,-52.73,Gallows Cove
33,Padang,ID,76.55,overcast clouds,-0.95,100.35,Mercure Padang
34,Ponta Do Sol,PT,72.72,clear sky,32.67,-17.1,Hotel do Campo
40,Seoul,KR,74.77,clear sky,37.57,126.98,롯데호텔 서울
42,Sola,VU,79.47,scattered clouds,-13.88,167.55,Ulkel Guest House
45,Isangel,VU,77.11,few clouds,-19.55,169.27,Tanna Lodge
47,Muros,ES,68.68,clear sky,42.78,-9.06,Apartment Av. Castelao
52,Taltal,CL,60.26,scattered clouds,-25.4,-70.48,Residencial Karime
53,Richards Bay,ZA,61.38,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
58,Celendin,PE,64.92,broken clouds,-6.87,-78.15,Villa Madrid
60,Ribeira Grande,PT,70.41,overcast clouds,38.52,-28.7,Quinta da Meia Eira
66,Preston,GB,73.98,clear sky,53.77,-2.72,Legacy Preston International Hotel - managed by Legacy Hotels and Resort
67,La Primavera,CO,75.34,overcast clouds,5.49,-70.41,La Riviera Hotel Colonial
68,Vao,NC,69.28,broken clouds,-22.67,167.48,Hotel Kou-Bugny
69,East London,ZA,62.22,clear sky,-33.02,27.91,Tu Casa
70,Kununurra,AU,62.58,clear sky,-15.77,128.73,Hotel Kununurra
73,Camana,PE,63.55,scattered clouds,-16.62,-72.71,Hostal Morales
74,Athabasca,CA,69.49,scattered clouds,54.72,-113.29,Athabasca Lodge Motel
75,Dingle,PH,76.37,light rain,11.0,122.67,SEGAYA PROPERTY
82,Saint-Philippe,RE,71.19,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
83,Estancia,BR,76.48,scattered clouds,-11.27,-37.44,Tropical Hotel
84,Izumo,JP,75.09,broken clouds,35.37,132.77,Toyoko-Inn Izumoshi ekimae
85,Hualmay,PE,65.37,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
90,Norman Wells,CA,77.04,scattered clouds,65.28,-126.83,Heritage Hotel
91,Le Port,RE,71.6,few clouds,-20.94,55.29,KORBEY D'OR OUEST
95,Bengkulu,ID,74.88,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
99,Vila Velha,BR,69.75,overcast clouds,-20.33,-40.29,Quality Suites Vila Velha
103,Naze,JP,78.01,moderate rain,28.37,129.48,奄美ポートタワーホテル
104,Poum,NC,70.97,overcast clouds,-20.23,164.02,Gîte kajeon
105,Mto Wa Mbu,TZ,64.45,scattered clouds,-3.35,35.85,Fanaka Safaris Campsite & Lodges
109,Calama,CL,68.49,broken clouds,-22.47,-68.93,Diego De Almagro Calama
112,Zhigansk,RU,62.85,clear sky,66.77,123.37,Gostinichnyy Kompleks Aylgy
116,Whitehorse,CA,74.01,broken clouds,60.72,-135.05,The Sternwheeler Hotel & Conference Centre
119,Thompson,CA,69.96,scattered clouds,55.74,-97.86,Burntwood Hotel
120,Vila Do Maio,CV,77.79,scattered clouds,15.13,-23.22,Hotel Marilu
122,Canora,CA,68.02,clear sky,51.63,-102.43,Canora Hotel
123,Mahebourg,MU,71.89,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
124,Meru,KE,61.27,overcast clouds,0.05,37.66,Stemuki Guest House
125,Nampula,MZ,64.35,few clouds,-15.12,39.27,Tacab Residencial
126,Taksimo,RU,64.44,overcast clouds,56.34,114.88,"Gostinitsa ""Viktoriya"""
128,Constantine,DZ,71.01,few clouds,36.37,6.61,Grand Hotel Cirta
130,Port Hawkesbury,CA,78.91,broken clouds,45.62,-61.35,MacKenzie House Tourist Home B&B
132,Mineiros,BR,61.86,clear sky,-17.57,-52.55,Pilões Palace Hotel
134,Yellowknife,CA,70.29,broken clouds,62.46,-114.35,The Explorer Hotel
135,Banjar,ID,76.86,few clouds,-8.19,114.97,The Hamsa Resort
137,Sibolga,ID,75.11,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
138,Souillac,MU,71.98,scattered clouds,-20.52,57.52,Bils' Villa
143,Shimanovsk,RU,69.06,broken clouds,52.0,127.7,Гостиница Домашняя
147,Port Alfred,ZA,60.67,scattered clouds,-33.59,26.89,The Halyards Hotel
150,Kropotkin,RU,78.48,clear sky,45.44,40.58,Hotel Europe Kropotkin
152,Guarapari,BR,69.69,overcast clouds,-20.67,-40.5,Hotel Porto do Sol
153,Trinidad,BO,75.18,clear sky,-14.83,-64.9,Hotel Piesta
157,Aklavik,CA,76.03,broken clouds,68.22,-135.01,Aklavik Inn
159,Nikolskoye,RU,60.69,clear sky,59.7,30.79,Tourist House - Sablino
161,Salamanca,ES,72.0,few clouds,40.83,-6.0,Palacio Carrascalino
164,Nipawin,CA,62.64,overcast clouds,53.37,-104.0,Tobin Lake Motel
165,Itarema,BR,79.2,scattered clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
168,Sotouboua,TG,78.84,overcast clouds,8.57,0.98,Auberge Médina
172,Salalah,OM,78.89,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
174,Atuona,PF,77.7,scattered clouds,-9.8,-139.03,Villa Enata
176,Kodiak,US,62.11,clear sky,57.79,-152.41,Best Western Kodiak Inn And Convention Center
177,Myitkyina,MM,76.82,overcast clouds,25.38,97.4,Shwe Phyu Hotel
179,Amga,RU,71.78,overcast clouds,60.9,131.96,Algys
182,Sri Aman,MY,75.25,broken clouds,1.24,111.46,Seri Simanggang Hotel
183,Pilar,BR,73.33,scattered clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
187,Port Keats,AU,65.07,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
188,Hasaki,JP,77.4,clear sky,35.73,140.83,Hotel Sunrise Choshi
192,San Policarpo,PH,79.54,overcast clouds,12.18,125.51,JM Lodge
194,Caravelas,BR,73.24,clear sky,-17.71,-39.25,Pousada dos Navegantes
195,Khani,GE,67.57,clear sky,41.96,42.96,კურორტი ზეკარი/Resort Zekari
