Index,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.45,-133.04,68.0,64,75,9.22,broken clouds
1,Ushuaia,AR,-54.80,-68.30,40.66,70,20,9.22,few clouds
2,Saldanha,ZA,-33.01,17.94,53.65,70,100,16.55,overcast clouds
3,Castro,BR,-24.79,-50.01,41.32,68,8,1.21,clear sky
4,Kruisfontein,ZA,-34.00,24.73,51.89,90,100,6.64,overcast clouds
5,Karla,EE,59.37,24.93,64.36,60,75,10.36,broken clouds
6,Agartala,IN,23.84,91.28,76.95,96,100,5.99,moderate rain
7,Huarmey,PE,-10.07,-78.15,67.23,74,13,8.93,few clouds
8,Siniscola,IT,40.57,9.69,72.95,59,0,4.79,clear sky
9,Alappuzha,IN,9.49,76.33,78.24,86,90,10.22,overcast clouds
10,Katima Mulilo,NA,-17.50,24.27,52.11,44,0,4.61,clear sky
11,Hilo,US,19.73,-155.09,80.8,86,90,8.05,light rain
12,Xingcheng,CN,40.62,120.72,74.12,90,75,0.78,broken clouds
13,Hermanus,ZA,-34.42,19.23,50.9,80,100,1.9,light rain
14,Rikitea,PF,-23.12,-134.97,71.06,66,100,24.85,light rain
15,Chapais,CA,49.78,-74.85,62.38,93,81,7.02,broken clouds
16,Busselton,AU,-33.65,115.33,53.1,82,94,14.07,overcast clouds
17,Vaini,TO,-21.20,-175.20,77.16,88,40,4.61,scattered clouds
18,Khatanga,RU,71.97,102.50,56.32,65,100,4.83,overcast clouds
19,Olinda,BR,-8.01,-34.86,73.13,83,75,4.61,broken clouds
20,Ust-Maya,RU,60.42,134.53,67.78,68,100,3.65,overcast clouds
21,Bambous Virieux,MU,-20.34,57.76,71.85,68,40,14.97,scattered clouds
22,Ulaanbaatar,MN,47.91,106.88,57.33,94,40,2.24,scattered clouds
23,Avarua,CK,-21.21,-159.78,78.85,78,20,19.57,few clouds
24,Barrow,US,71.29,-156.79,44.62,87,90,6.91,light rain
25,Mataura,NZ,-46.19,168.86,36.48,85,59,2.98,broken clouds
26,Salinopolis,BR,-0.61,-47.36,78.49,86,6,9.55,clear sky
27,Coquimbo,CL,-29.95,-71.34,55.13,76,0,6.91,clear sky
28,Juba,SS,4.85,31.58,70.75,85,94,3.02,overcast clouds
29,Torbay,CA,47.67,-52.73,66.88,76,75,13.8,broken clouds
30,Beringovskiy,RU,63.05,179.32,45.48,97,100,7.09,light rain
31,Hobart,AU,-42.88,147.33,47.05,78,75,1.01,moderate rain
32,Punta Arenas,CL,-53.15,-70.92,41.11,81,75,11.5,broken clouds
33,Padang,ID,-0.95,100.35,76.55,80,100,4.16,overcast clouds
34,Ponta Do Sol,PT,32.67,-17.10,72.72,79,6,3.98,clear sky
35,Pochutla,MX,15.74,-96.47,91.81,55,55,6.76,broken clouds
36,Butaritari,KI,3.07,172.79,82.45,74,100,12.66,overcast clouds
37,Mehamn,NO,71.04,27.85,44.51,80,74,24.25,light rain
38,Ancud,CL,-41.87,-73.82,53.13,99,100,9.93,moderate rain
39,Upernavik,GL,72.79,-56.15,41.05,84,99,3.29,overcast clouds
40,Seoul,KR,37.57,126.98,74.77,94,0,3.44,clear sky
41,Cabo San Lucas,MX,22.89,-109.91,98.62,48,20,11.5,few clouds
42,Sola,VU,-13.88,167.55,79.47,89,40,0.0,scattered clouds
